facility,state
Hospital Duchess Of Kent,Sabah
Hospital Melaka,Melaka
Hospital Miri,Sarawak
Hospital Pulau Pinang,Pulau Pinang
Hospital Queen Elizabeth II,Sabah
Hospital Raja Perempuan Zainab II,Kelantan
Hospital Raja Permaisuri Bainun,Perak
Hospital Seberang Jaya,Pulau Pinang
Hospital Seri Manjung,Perak
Hospital Sibu,Sarawak
Hospital Sultan Haji Ahmad Shah,Pahang
Hospital Sultanah Aminah,Johor
Hospital Sultanah Bahiyah,Kedah
Hospital Sultanah Nora Ismail,Johor
Hospital Sultanah Nur Zahirah,Terengganu
Hospital Taiping,Perak
Hospital Tawau,Sabah
Hospital Tengku Ampuan Afzan,Pahang
Hospital Tengku Ampuan Rahimah,Selangor
Hospital Tuanku Jaafar,Negeri Sembilan
Hospital Umum Sarawak,Sarawak
Pusat Darah Negara,W.P. Kuala Lumpur
