start_date,end_date,description,verified,source
2006-03-11,2006-03-19,Term 1 Break,false,Kementerian Pendidikan Malaysia (KPM) Takwim Persekolahan 2006
2006-05-27,2006-06-11,Mid-Year Break,false,Kementerian Pendidikan Malaysia (KPM) Takwim Persekolahan 2006
2006-08-19,2006-08-27,Term 2 Break,false,Kementerian Pendidikan Malaysia (KPM) Takwim Persekolahan 2006
2006-11-11,2006-12-31,Year-End Break,false,Kementerian Pendidikan Malaysia (KPM) Takwim Persekolahan 2006
2007-03-24,2007-04-01,Term 1 Break,false,Kementerian Pendidikan Malaysia (KPM) Takwim Persekolahan 2007
2007-05-26,2007-06-10,Mid-Year Break,false,Kementerian Pendidikan Malaysia (KPM) Takwim Persekolahan 2007
2007-08-18,2007-08-26,Term 2 Break,false,Kementerian Pendidikan Malaysia (KPM) Takwim Persekolahan 2007
2007-11-17,2007-12-31,Year-End Break,false,Kementerian Pendidikan Malaysia (KPM) Takwim Persekolahan 2007
2008-03-08,2008-03-16,Term 1 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 6/2007 (Takwim Persekolahan 2008)
2008-05-24,2008-06-08,Mid-Year Break,true,Surat Pekeliling Ikhtisas KPM Bil. 6/2007 (Takwim Persekolahan 2008)
2008-08-16,2008-08-24,Term 2 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 6/2007 (Takwim Persekolahan 2008)
2008-11-15,2009-01-04,Year-End Break,true,Surat Pekeliling Ikhtisas KPM Bil. 6/2007 (Takwim Persekolahan 2008)
2009-03-14,2009-03-22,Term 1 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 7/2008 (Takwim Persekolahan 2009)
2009-05-30,2009-06-14,Mid-Year Break,true,Surat Pekeliling Ikhtisas KPM Bil. 7/2008 (Takwim Persekolahan 2009)
2009-08-22,2009-08-30,Term 2 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 7/2008 (Takwim Persekolahan 2009)
2009-11-21,2010-01-03,Year-End Break,true,Surat Pekeliling Ikhtisas KPM Bil. 7/2008 (Takwim Persekolahan 2009)
2010-03-13,2010-03-21,Term 1 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 6/2009 (Takwim Persekolahan 2010)
2010-06-05,2010-06-20,Mid-Year Break,true,Surat Pekeliling Ikhtisas KPM Bil. 6/2009 (Takwim Persekolahan 2010)
2010-09-04,2010-09-12,Term 2 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 6/2009 (Takwim Persekolahan 2010)
2010-11-20,2011-01-02,Year-End Break,true,Surat Pekeliling Ikhtisas KPM Bil. 6/2009 (Takwim Persekolahan 2010)
2011-03-12,2011-03-20,Term 1 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 8/2010 (Takwim Persekolahan 2011)
2011-05-28,2011-06-12,Mid-Year Break,true,Surat Pekeliling Ikhtisas KPM Bil. 8/2010 (Takwim Persekolahan 2011)
2011-08-27,2011-09-04,Term 2 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 8/2010 (Takwim Persekolahan 2011)
2011-11-19,2012-01-02,Year-End Break,true,Surat Pekeliling Ikhtisas KPM Bil. 8/2010 (Takwim Persekolahan 2011)
2012-03-10,2012-03-18,Term 1 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 9/2011 (Takwim Persekolahan 2012)
2012-05-26,2012-06-10,Mid-Year Break,true,Surat Pekeliling Ikhtisas KPM Bil. 9/2011 (Takwim Persekolahan 2012)
2012-08-18,2012-08-26,Term 2 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 9/2011 (Takwim Persekolahan 2012)
2012-11-10,2013-01-01,Year-End Break,true,Surat Pekeliling Ikhtisas KPM Bil. 9/2011 (Takwim Persekolahan 2012)
2013-03-23,2013-03-31,Term 1 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 10/2012 (Takwim Persekolahan 2013)
2013-05-25,2013-06-09,Mid-Year Break,true,Surat Pekeliling Ikhtisas KPM Bil. 10/2012 (Takwim Persekolahan 2013)
2013-08-07,2013-08-18,Term 2 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 10/2012 (Takwim Persekolahan 2013)
2013-11-16,2014-01-01,Year-End Break,true,Surat Pekeliling Ikhtisas KPM Bil. 10/2012 (Takwim Persekolahan 2013)
2014-03-22,2014-03-30,Term 1 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 4/2013 (Takwim Persekolahan 2014)
2014-05-28,2014-06-15,Mid-Year Break,true,Surat Pekeliling Ikhtisas KPM Bil. 4/2013 (Takwim Persekolahan 2014)
2014-09-13,2014-09-21,Term 2 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 4/2013 (Takwim Persekolahan 2014)
2014-11-22,2015-01-04,Year-End Break,true,Surat Pekeliling Ikhtisas KPM Bil. 4/2013 (Takwim Persekolahan 2014)
2015-03-14,2015-03-22,Term 1 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 7/2014 (Takwim Persekolahan 2015)
2015-05-30,2015-06-14,Mid-Year Break,true,Surat Pekeliling Ikhtisas KPM Bil. 7/2014 (Takwim Persekolahan 2015)
2015-09-19,2015-09-27,Term 2 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 7/2014 (Takwim Persekolahan 2015)
2015-11-21,2016-01-03,Year-End Break,true,Surat Pekeliling Ikhtisas KPM Bil. 7/2014 (Takwim Persekolahan 2015)
2016-03-12,2016-03-20,Term 1 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 8/2015 (Takwim Persekolahan 2016)
2016-05-28,2016-06-12,Mid-Year Break,true,Surat Pekeliling Ikhtisas KPM Bil. 8/2015 (Takwim Persekolahan 2016)
2016-09-10,2016-09-18,Term 2 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 8/2015 (Takwim Persekolahan 2016)
