trial_id,trial_type,train_start,num_leaves,learning_rate,min_data_in_leaf,tweedie_variance_power,best_iteration,val_wape
1,tuning,2006-01-01,31,0.05,20,1.5,195,0.4118287955597112
2,tuning,2006-01-01,63,0.03,100,1.5,320,0.4044967862777217
3,tuning,2006-01-01,127,0.03,20,1.3,245,0.4026276166420578
4,tuning,2006-01-01,63,0.1,100,1.5,111,0.4025681641270964
5,tuning,2006-01-01,127,0.03,200,1.5,490,0.397970848905727
6,tuning,2006-01-01,31,0.03,50,1.7,149,0.4437985447501937
7,tuning,2006-01-01,31,0.05,50,1.7,85,0.44710691694520593
8,tuning,2006-01-01,15,0.03,200,1.3,999,0.40421498524064975
9,tuning,2006-01-01,31,0.03,200,1.1,1000,0.3994458657184469
10,tuning,2006-01-01,15,0.1,100,1.3,809,0.39851345752872464
11,tuning,2006-01-01,127,0.1,50,1.5,42,0.41534174624706327
12,tuning,2006-01-01,127,0.1,200,1.1,268,0.39853747858359867
13,tuning,2006-01-01,63,0.03,100,1.9,113,0.478122918527038
14,tuning,2006-01-01,15,0.1,50,1.7,52,0.447574890889878
15,tuning,2006-01-01,15,0.05,50,1.3,741,0.40339794234048704
16,tuning,2006-01-01,15,0.05,20,1.3,462,0.40665726768312654
17,tuning,2006-01-01,127,0.1,200,1.7,48,0.4183032108823375
18,tuning,2006-01-01,15,0.1,100,1.1,552,0.4027047478919397
19,tuning,2006-01-01,127,0.05,200,1.7,93,0.42033414819158227
20,tuning,2006-01-01,31,0.05,50,1.3,359,0.40306101437711517
ablation_2006,ablation,2006-01-01,127,0.03,200,1.5,490,0.397970848905727
ablation_2010,ablation,2010-01-01,127,0.03,200,1.5,535,0.3959226836715373
